job_id,company_name,job_title,role,location,job_type,salary_min,salary_max,experience_years_min,experience_years_max,required_skills,company_size,date_posted
1,Sainsbury's,Data Analyst,Data Analyst,London,On-site,28000,38000,1,3,"SQL, Excel, Power BI",Large,2026-06-01
2,TfL,Business Analyst,Data Analyst,London,Hybrid,32000,42000,2,4,"SQL, Python, Tableau",Large,2026-06-01
3,Camden Council,Intelligence Analyst,Data Analyst,London,On-site,26000,34000,1,2,"SQL, Excel, Python",Medium,2026-05-28
4,Revolut,Data Scientist,Data Scientist,London,Remote,45000,65000,3,6,"Python, SQL, Machine Learning",Large,2026-06-02
5,BAE Systems,Data Engineer,Data Scientist,Manchester,Hybrid,40000,55000,2,5,"Python, SQL, AWS, Spark",Large,2026-05-30
6,Darktrace,ML Engineer,ML Engineer,Cambridge,Hybrid,50000,70000,3,7,"Python, PyTorch, TensorFlow, AWS",Large,2026-06-01
7,Trainline,Junior Data Analyst,Data Analyst,London,Remote,22000,28000,0,1,"SQL, Excel, Python basics",Medium,2026-05-29
8,Jisc,Data Analyst,Data Analyst,London,Hybrid,30000,40000,1,3,"SQL, Power BI, Excel",Large,2026-05-31
9,Manchester Council,Public Health Analyst,Data Analyst,Manchester,On-site,25000,33000,1,2,"SQL, Excel, Tableau",Medium,2026-05-27
10,Ealing Council,Finance Data Analyst,Data Analyst,London,On-site,27000,36000,1,3,"SQL, Excel, Power BI",Medium,2026-05-25
11,NHS England,Performance Analyst,Data Analyst,Birmingham,Hybrid,28000,38000,2,4,"SQL, Python, Tableau",Large,2026-06-02
12,Waltham Forest Council,BI Analyst,Data Analyst,London,On-site,26000,35000,1,3,"SQL, Power BI, Excel",Medium,2026-05-26
13,Accenture,Data Scientist,Data Scientist,London,Hybrid,42000,58000,2,5,"Python, SQL, Statistics, ML",Large,2026-06-01
14,Deloitte,Data & Analytics Consultant,Data Scientist,London,Hybrid,40000,55000,2,4,"Python, SQL, Tableau, Excel",Large,2026-05-30
15,Google,ML Engineer,ML Engineer,London,Remote,55000,75000,4,8,"Python, TensorFlow, C++, SQL",Large,2026-05-31
16,Amazon,Data Engineer,ML Engineer,London,Hybrid,48000,68000,2,5,"Python, SQL, AWS, Spark",Large,2026-06-02
17,Microsoft,Business Analyst,Data Analyst,London,Remote,35000,48000,2,4,"SQL, Power BI, Excel, Python",Large,2026-05-29
18,GBG,Data Analyst,Data Analyst,Bristol,Hybrid,26000,36000,1,3,"SQL, Python, Power BI",Medium,2026-05-28
19,Sophos,Senior Data Scientist,Data Scientist,Oxford,Hybrid,55000,75000,5,8,"Python, SQL, ML, Deep Learning",Large,2026-06-01
20,Fidelity,Quantitative Analyst,Data Scientist,London,On-site,50000,70000,3,6,"Python, SQL, Statistics, R",Large,2026-05-27
21,Morgan Stanley,Data Scientist,Data Scientist,London,On-site,52000,72000,3,6,"Python, SQL, Machine Learning",Large,2026-06-02
22,Goldman Sachs,Junior Data Analyst,Data Analyst,London,On-site,35000,45000,0,2,"SQL, Excel, Python, VBA",Large,2026-05-31
23,JP Morgan,Data Engineer,ML Engineer,London,Hybrid,48000,65000,2,5,"Python, SQL, AWS, Java",Large,2026-05-30
24,IBM,Data Scientist,Data Scientist,London,Remote,45000,62000,2,5,"Python, SQL, ML, Cloud",Large,2026-06-01
25,Capgemini,Business Analyst,Data Analyst,London,Hybrid,28000,38000,1,3,"SQL, Excel, Tableau",Large,2026-05-29
26,Infosys,Data Analyst,Data Analyst,Manchester,Remote,24000,32000,0,2,"SQL, Excel, Python",Large,2026-05-28
27,TCS,Junior Data Scientist,Data Scientist,Bangalore,Remote,25000,35000,0,2,"Python, SQL, Statistics",Large,2026-06-02
28,PwC,Data & Analytics Consultant,Data Scientist,London,Hybrid,40000,55000,2,4,"Python, SQL, Tableau, ML",Large,2026-05-27
29,EY,Business Analyst,Data Analyst,London,Hybrid,32000,42000,1,3,"SQL, Excel, Power BI, Python",Large,2026-05-26
30,KPMG,Senior Data Analyst,Data Analyst,London,On-site,38000,50000,3,5,"SQL, Power BI, Python, Excel",Large,2026-06-01
31,CBRE,Data Analyst,Data Analyst,London,Hybrid,26000,34000,1,2,"SQL, Excel, Tableau",Large,2026-05-29
32,JLL,BI Analyst,Data Analyst,London,On-site,27000,37000,1,3,"SQL, Power BI, Excel",Large,2026-05-28
33,Cushman & Wakefield,Data Scientist,Data Scientist,London,Hybrid,42000,58000,2,4,"Python, SQL, ML, Tableau",Medium,2026-06-02
34,WeWork,Business Analyst,Data Analyst,London,Remote,28000,38000,1,3,"SQL, Excel, Python, Tableau",Medium,2026-05-31
35,Hilton,Data Analyst,Data Analyst,London,Hybrid,25000,35000,0,2,"SQL, Excel, Power BI",Large,2026-05-27
